,PC1,PC2,PC3
ponto de fulgor,0.15244958499117234,0.9816684936487878,-0.11439446058852158
massa especifica,0.704953460539175,-0.026886368038069194,0.708743777177312
enxofre,0.6926757845557047,-0.1886904655541478,-0.696129417349316
